iter	Passed	Remaining
466	699	798
467	700	796
468	700	793
469	701	791
470	702	788
471	703	786
472	703	784
473	704	781
474	705	779
475	705	776
476	706	774
477	707	772
478	707	769
479	708	767
480	709	765
481	709	762
482	710	760
483	711	758
484	712	756
485	712	753
486	713	751
487	714	749
488	714	747
489	715	744
490	716	742
491	717	740
492	717	738
493	718	735
494	719	733
495	719	731
496	720	729
497	721	726
498	721	724
499	722	722
500	723	720
501	723	718
502	724	715
503	725	713
504	726	711
505	726	709
506	727	707
507	728	705
508	728	703
509	729	701
510	730	698
511	731	696
512	731	694
513	732	692
514	733	690
515	733	688
516	734	686
517	735	684
518	735	681
519	736	679
520	737	677
521	737	675
522	738	673
523	739	671
524	740	669
525	740	667
526	741	665
527	742	663
528	743	661
529	743	659
530	744	657
531	745	655
532	745	653
533	746	651
534	747	649
535	747	647
536	748	645
537	749	643
538	749	641
539	750	639
540	751	637
541	751	635
542	752	633
543	753	631
544	754	630
545	756	628
546	757	627
547	758	625
548	759	624
549	760	622
550	762	620
551	763	619
552	764	617
553	765	616
554	766	614
555	767	612
556	768	611
557	769	609
558	770	607
559	771	605
560	772	604
561	773	602
562	774	601
563	775	599
564	777	598
565	778	596
566	779	595
567	780	593
568	781	592
569	783	590
570	784	589
571	785	587
572	786	586
573	788	585
574	789	583
575	790	581
576	791	580
577	792	578
578	793	577
579	795	575
580	796	574
581	797	572
582	798	571
583	799	569
584	800	567
585	801	566
586	802	564
587	803	563
588	804	561
589	806	560
590	807	558
591	808	557
592	809	555
593	810	554
594	811	552
595	813	551
596	814	549
597	815	548
598	817	547
599	818	545
600	819	543
601	820	542
602	821	540
603	822	539
604	823	537
605	824	536
606	825	534
607	826	532
608	827	531
609	828	529
610	829	528
611	830	526
612	831	525
613	833	523
614	834	522
615	835	520
616	836	519
617	837	517
618	838	516
619	839	514
620	840	512
621	841	511
622	842	509
623	842	507
624	843	506
625	844	504
626	845	502
627	846	501
628	846	499
629	847	497
630	848	496
631	849	494
632	850	492
633	850	491
634	851	489
635	852	487
636	853	486
637	854	485
638	856	483
639	857	482
640	858	480
641	859	479
642	860	477
643	861	476
644	862	474
645	863	473
646	864	471
647	865	470
648	866	468
649	868	467
650	869	465
651	870	464
652	871	462
653	872	461
654	873	460
655	874	458
656	875	457
657	876	455
658	877	454
659	878	452
660	879	451
661	880	449
662	881	448
663	882	446
664	883	445
665	884	443
666	885	442
667	886	440
668	887	439
669	888	437
670	889	436
671	891	434
672	891	433
673	892	431
674	894	430
675	895	429
676	896	427
677	897	426
678	899	425
679	900	423
680	901	422
681	902	420
682	903	419
683	904	417
684	905	416
685	906	415
686	908	413
687	909	412
688	910	410
689	911	409
690	912	408
691	913	406
692	914	405
693	915	403
694	917	402
695	918	401
696	919	399
697	921	398
698	922	397
699	923	395
700	924	394
701	926	393
702	928	392
703	929	390
704	930	389
705	931	387
706	932	386
707	933	385
708	935	383
709	936	382
710	937	381
711	938	379
712	940	378
713	940	376
714	942	375
715	943	374
716	944	372
717	945	371
718	947	370
719	948	368
720	951	368
721	952	366
722	953	365
723	954	363
724	956	362
725	957	361
726	958	359
727	959	358
728	960	357
729	961	355
730	962	354
731	964	352
732	965	351
733	966	350
734	967	348
735	968	347
736	969	345
737	970	344
738	971	343
739	972	341
740	973	340
741	974	338
742	975	337
743	976	335
744	977	334
745	978	333
746	979	331
747	980	330
748	981	329
749	983	327
750	984	326
751	985	324
752	986	323
753	987	322
754	988	320
755	989	319
756	990	318
757	992	317
758	995	316
759	998	315
760	999	314
761	1002	313
762	1003	311
763	1004	310
764	1005	308
765	1006	307
766	1010	306
767	1011	305
768	1013	304
769	1014	303
770	1015	301
771	1016	300
772	1017	298
773	1018	297
774	1019	295
775	1020	294
776	1023	293
777	1025	292
778	1025	291
779	1027	289
780	1027	288
781	1029	286
782	1030	285
783	1030	284
784	1032	282
785	1033	281
786	1034	279
787	1035	278
788	1037	277
789	1039	276
790	1040	274
791	1041	273
792	1042	272
793	1043	270
794	1044	269
795	1045	267
796	1046	266
797	1047	265
798	1048	263
799	1049	262
800	1050	260
801	1051	259
802	1053	258
803	1055	257
804	1056	255
805	1056	254
806	1057	252
807	1058	251
808	1060	250
809	1060	248
810	1062	247
811	1063	246
812	1064	244
813	1064	243
814	1066	242
815	1067	240
816	1069	239
817	1070	238
818	1071	236
819	1072	235
820	1073	233
821	1074	232
822	1075	231
823	1076	229
824	1077	228
825	1078	227
826	1079	225
827	1080	224
828	1081	223
829	1083	221
830	1084	220
831	1085	219
832	1086	217
833	1087	216
834	1088	215
835	1089	213
836	1090	212
837	1091	211
838	1092	209
839	1093	208
840	1095	207
841	1096	205
842	1098	204
843	1099	203
844	1100	201
845	1101	200
846	1103	199
847	1104	197
848	1105	196
849	1106	195
850	1107	193
851	1108	192
852	1109	191
853	1110	189
854	1111	188
855	1113	187
856	1114	186
857	1115	184
858	1116	183
859	1117	181
860	1118	180
861	1119	179
862	1120	177
863	1121	176
864	1122	175
865	1123	173
866	1124	172
867	1126	171
868	1127	170
869	1128	168
870	1129	167
871	1130	165
872	1131	164
873	1132	163
874	1134	162
875	1135	160
876	1136	159
877	1137	158
878	1138	156
879	1139	155
880	1140	154
881	1142	152
882	1143	151
883	1145	150
884	1146	148
885	1147	147
886	1148	146
887	1149	144
888	1150	143
889	1151	142
890	1152	140
891	1153	139
892	1154	138
893	1155	137
894	1157	135
895	1158	134
896	1159	133
897	1161	131
898	1162	130
899	1163	129
900	1163	127
901	1165	126
902	1166	125
903	1167	123
904	1168	122
905	1169	121
906	1171	120
907	1173	118
908	1174	117
909	1175	116
910	1176	114
911	1177	113
912	1178	112
913	1180	111
914	1181	109
915	1182	108
916	1184	107
917	1186	105
918	1188	104
919	1189	103
920	1191	102
921	1196	101
922	1196	99
923	1198	98
924	1199	97
925	1201	96
926	1203	94
927	1204	93
928	1205	92
929	1206	90
930	1207	89
931	1208	88
932	1209	86
933	1211	85
934	1212	84
935	1213	82
936	1215	81
937	1217	80
938	1219	79
939	1220	77
940	1221	76
941	1222	75
942	1223	73
943	1226	72
944	1227	71
